Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
13.0	1.21	0.64	0.42	0.54	0.4
13.1	1.5	0.75	0.79	0.74	0.7
13.2	1.36	0.77	0.74	0.72	0.8
13.3	1.52	0.68	0.66	0.86	0.61
13.4	1.32	1.02	0.73	0.92	0.69
13.5	1.08	1.19	0.69	0.91	0.69
13.6	1.11	1.03	0.8	1.0	0.77
13.7	1.19	0.7	0.71	0.97	1.01
13.8	1.23	0.65	0.81	1.19	1.04
13.9	1.41	0.64	0.75	0.87	0.66
14.0	1.19	1.09	0.4	0.98	0.5
14.1	1.39	0.86	0.51	1.31	0.63
14.2	1.09	0.99	0.77	1.0	0.86
14.3	1.21	1.18	0.74	1.05	0.79
14.4	1.21	0.62	0.39	0.93	0.65
14.5	1.05	0.42	0.42	0.92	0.76
14.6	1.26	0.56	0.39	1.1	0.66
14.7	1.28	0.57	0.5	0.84	0.88
14.8	1.45	0.63	0.41	0.95	0.64
14.9	1.2	0.68	0.45	0.93	0.72
15.0	1.28	0.72	0.44	0.97	0.74
15.1	1.14	0.69	0.51	0.91	1.09
15.2	1.06	0.72	0.43	0.9	0.84
15.3	1.0	0.59	0.4	1.04	0.62
15.4	1.14	0.59	0.47	0.96	0.75
15.5	1.17	0.76	0.55	0.99	0.89
15.6	1.38	0.65	0.47	1.0	0.84
15.7	1.24	0.7	0.46	1.0	0.83
15.8	1.11	0.62	0.8	0.92	0.87
15.9	1.34	0.5	0.76	0.89	0.74
16.0	1.13	0.71	0.73	1.08	0.62
16.1	1.28	0.53	0.76	1.02	0.57
16.2	1.19	0.6	0.74	0.95	0.72
16.3	1.16	0.66	0.83	0.97	0.81
16.4	1.2	0.61	0.77	1.02	0.81
16.5	1.32	0.73	0.71	0.95	0.75
16.6	1.27	0.9	0.42	0.94	0.8
16.7	1.18	0.49	0.46	0.9	0.84
16.8	1.12	0.64	0.65	0.99	0.77
16.9	1.08	0.71	0.66	1.0	0.85
17.0	0.99	0.65	0.67	0.8	0.85
17.1	1.17	0.61	0.45	0.91	0.67
17.2	1.13	0.61	0.63	1.02	0.89
17.3	1.1	0.81	0.64	0.86	0.71
17.4	1.1	0.8	0.41	0.96	0.76
17.5	0.95	0.99	0.4	0.91	0.71
17.6	1.16	0.59	0.63	0.93	0.73
17.7	1.01	0.62	0.77	0.96	0.84
17.8	1.2	0.63	0.83	1.0	0.88
17.9	1.23	0.65	0.79	1.0	0.78
18.0	1.13	0.66	0.62	1.0	0.9
18.1	1.13	0.43	0.66	0.89	0.78
18.2	1.02	0.89	0.61	0.85	0.76
18.3	1.06	0.9	0.6	0.98	0.72
18.4	1.18	0.84	0.61	0.79	0.93
18.5	1.23	0.93	0.62	0.95	0.77
18.6	1.15	0.61	0.67	0.95	0.95
18.7	1.29	0.73	0.71	0.85	0.72
18.8	1.17	0.52	0.62	0.97	0.75
18.9	1.19	0.64	0.62	1.01	1.05
19.0	1.17	0.51	0.65	0.87	0.83
19.1	1.21	0.72	0.66	0.99	0.9
19.2	1.09	0.76	0.59	0.85	0.78
19.3	1.16	0.61	0.72	0.83	0.74
19.4	1.47	0.93	0.41	0.95	0.65
19.5	1.3	0.68	0.62	0.91	0.58
19.6	1.32	0.7	0.63	0.92	0.73
19.7	1.09	0.52	0.59	0.89	0.78
19.8	1.26	0.53	0.67	0.86	0.56
19.9	1.23	0.63	0.43	1.1	0.8
20.0	1.2	0.74	0.75	0.96	0.69
20.1	1.32	0.74	0.71	1.25	0.65
20.2	0.98	0.58	0.69	0.91	0.6
20.3	1.34	0.65	0.73	0.95	0.86
20.4	1.28	0.62	0.69	0.91	0.94
20.5	1.08	0.68	0.66	0.88	0.88
20.6	1.28	0.56	0.73	0.91	0.85
20.7	0.96	0.65	0.39	1.01	0.91
20.8	0.96	0.67	0.77	0.95	0.75
20.9	0.92	0.68	0.71	0.82	0.6
21.0	0.82	0.63	0.68	0.91	0.66
21.1	1.13	0.71	0.67	1.07	0.56
21.2	1.1	0.69	0.63	0.93	0.73
21.3	1.04	0.57	0.73	0.94	0.77
21.4	1.12	0.63	0.74	0.87	0.79
21.5	1.07	0.51	0.42	0.86	0.91
21.6	1.22	0.67	0.82	1.19	0.77
21.7	1.11	0.64	0.83	0.91	0.79
21.8	1.4	0.5	0.42	0.96	0.67
21.9	1.13	0.69	0.73	0.95	0.84
22.0	1.13	0.82	0.78	0.81	0.72
22.1	1.09	0.57	0.65	0.93	0.7
22.2	1.17	0.61	0.75	0.99	0.8
22.3	1.14	0.57	0.78	0.87	0.78
22.4	0.81	0.73	0.76	0.78	0.88
22.5	1.32	0.5	0.67	1.03	0.75
22.6	1.11	0.67	0.59	0.9	0.85
22.7	0.85	0.66	0.6	0.91	0.91
22.8	0.93	0.65	0.6	0.92	0.8
22.9	0.95	0.66	0.67	0.88	0.85
23.0	0.93	0.68	0.69	0.92	0.97
23.1	0.79	0.68	0.6	0.93	0.8
23.2	0.87	0.66	0.75	0.95	0.52
23.3	0.91	0.73	0.75	0.93	0.45
23.4	0.86	0.62	0.81	0.99	0.56
23.5	0.79	0.55	0.92	0.95	0.67
23.6	0.87	0.62	0.8	0.92	0.7
23.7	0.77	0.64	0.74	0.82	0.53
23.8	0.83	0.65	0.7	1.03	0.55
23.9	0.82	0.67	0.7	0.86	0.37
24.0	0.94	0.64	0.78	0.92	0.58
24.1	0.91	0.71	0.76	0.93	0.38
24.2	0.94	0.49	0.75	0.95	0.45
24.3	0.89	0.62	0.82	0.88	0.53
24.4	0.88	0.68	0.78	0.9	0.73
24.5	0.96	0.68	0.67	0.89	0.73
24.6	0.9	0.61	0.72	0.9	0.42
24.7	0.94	0.5	0.75	0.86	0.42
24.8	0.9	0.68	0.68	0.87	0.35
24.9	0.9	0.63	0.63	0.92	0.44
25.0	0.99	0.63	0.6	0.95	0.44
25.1	0.63	0.74	0.64	0.96	0.53
25.2	0.99	0.64	0.53	0.96	0.4
25.3	0.9	0.65	0.7	0.96	0.62
25.4	0.9	0.57	0.6	0.89	0.56
25.5	1.1	0.6	0.72	0.99	0.36
25.6	0.88	0.63	0.62	1.04	0.53
25.7	1.01	0.57	0.63	1.02	0.76
25.8	0.99	0.69	0.69	0.99	0.67
25.9	1.0	0.53	0.57	0.96	0.72
26.0	0.94	0.59	0.67	0.9	0.74
26.1	0.85	0.5	0.65	1.01	0.59
26.2	1.0	0.41	0.62	0.91	0.63
26.3	0.9	0.6	0.62	0.63	0.38
26.4	0.9	0.6	0.67	0.86	0.34
26.5	0.88	0.58	0.81	0.78	0.53
26.6	1.12	0.52	0.86	0.65	0.76
26.7	0.96	0.61	0.76	0.74	0.66
26.8	1.11	0.61	0.63	0.85	0.59
26.9	1.16	0.59	0.59	0.87	0.82
27.0	0.96	0.69	0.7	0.9	0.7
27.1	1.02	0.58	0.39	0.94	0.93
27.2	1.01	0.6	0.89	0.91	0.67
27.3	0.83	0.57	0.97	0.95	0.71
27.4	0.84	0.59	0.96	1.01	0.64
27.5	0.75	0.61	0.86	1.0	0.71
27.6	0.75	0.55	0.97	0.99	0.73
27.7	0.78	0.56	0.63	1.0	0.71
27.8	0.81	0.7	0.57	1.02	0.66
27.9	0.86	0.58	0.67	1.0	0.49
28.0	0.83	0.68	0.77	0.92	0.53
28.1	0.78	0.64	0.71	0.93	0.61
28.2	0.89	0.45	0.78	0.95	0.33
28.3	0.98	0.64	0.59	0.87	0.3
28.4	0.81	0.76	0.42	0.91	0.87
28.5	0.89	0.69	0.41	0.95	0.74
28.6	0.87	0.64	0.47	0.87	0.59
28.7	0.93	0.5	0.43	0.94	0.62
28.8	0.9	0.58	0.37	0.98	0.61
28.9	0.85	0.72	0.57	0.91	0.88
29.0	0.82	0.62	0.7	0.84	0.73
29.1	0.87	0.74	0.43	1.17	0.75
29.2	0.83	0.65	0.68	1.0	0.72
29.3	0.84	0.6	0.78	0.97	0.65
29.4	0.76	0.71	0.58	0.94	0.76
29.5	0.9	0.66	0.55	0.99	0.62
29.6	0.76	0.65	0.61	1.27	0.74
29.7	0.82	0.67	0.61	0.91	0.8
29.8	0.83	0.71	0.58	0.98	0.35
29.9	0.84	0.73	0.55	0.86	0.31
30.0	0.77	0.56	0.63	0.87	0.42
30.1	0.82	0.89	0.59	0.88	0.29
30.2	0.75	0.64	0.68	0.93	0.36
30.3	0.73	0.57	0.72	0.87	0.47
30.4	0.78	0.65	0.71	1.04	0.5
30.5	0.79	0.81	0.55	1.03	0.38
30.6	0.77	0.55	0.69	0.84	0.32
30.7	0.9	0.54	0.66	0.99	0.45
30.8	0.84	0.75	0.68	0.89	0.28
30.9	0.8	0.8	0.6	0.91	0.46
31.0	0.8	0.75	0.74	0.94	0.27
31.1	0.81	0.67	0.64	0.94	0.27
31.2	0.67	0.68	0.65	0.96	0.24
31.3	0.8	0.69	0.67	0.86	0.25
31.4	0.91	0.65	0.59	0.83	0.3
31.5	0.73	0.65	0.69	0.97	0.27
31.6	0.77	0.66	0.64	0.85	0.38
31.7	0.77	0.53	0.8	0.88	0.46
31.8	0.79	0.64	0.66	1.09	0.27
31.9	0.82	0.79	0.69	0.89	0.3
32.0	0.88	0.94	0.62	0.88	0.37
32.1	0.71	0.74	0.69	1.0	0.33
32.2	0.75	0.69	0.61	0.96	0.33
32.3	0.81	0.61	0.67	0.88	0.28
32.4	0.77	0.48	0.6	0.82	0.27
32.5	0.78	0.74	0.61	0.9	0.65
32.6	0.79	0.55	0.62	0.84	0.36
32.7	0.79	0.67	0.45	0.78	0.54
32.8	0.75	0.63	0.48	0.87	0.34
32.9	0.81	0.69	0.63	0.9	0.46
33.0	0.87	0.55	0.55	0.91	0.3
33.1	0.86	0.64	0.47	0.9	0.51
33.2	0.81	0.75	0.58	1.14	0.41
33.3	0.86	0.56	0.62	0.93	0.32
33.4	0.92	0.64	0.6	0.85	0.5
33.5	0.84	0.59	0.69	0.92	0.35
33.6	0.77	0.57	0.65	0.97	0.6
33.7	0.93	0.56	0.59	0.87	0.5
33.8	0.79	0.45	0.65	0.91	0.47
33.9	0.79	0.57	0.69	0.89	0.44
34.0	0.88	0.65	0.62	0.87	0.22
34.1	0.81	0.51	0.63	0.89	0.79
34.2	0.7	0.71	0.63	0.89	0.34
34.3	0.87	0.53	0.68	0.84	0.33
34.4	0.78	0.5	0.6	0.87	0.3
34.5	0.83	0.62	0.53	0.83	0.41
34.6	0.84	0.66	0.66	0.92	0.3
34.7	0.73	0.54	0.58	0.78	0.66
34.8	0.9	0.53	0.6	0.89	0.74
34.9	0.78	0.6	0.64	0.89	0.48
35.0	0.97	0.52	0.69	0.91	0.66
35.1	0.84	0.65	0.65	0.91	0.55
35.2	0.79	0.44	0.61	0.82	0.6
35.3	0.76	0.56	0.62	0.78	0.66
35.4	0.75	0.63	0.66	0.82	0.6
35.5	0.79	0.62	0.63	0.8	0.71
35.6	0.85	0.59	0.6	0.95	0.72
35.7	0.78	0.59	0.61	0.93	0.67
35.8	0.82	0.67	0.59	0.89	0.73
35.9	0.85	0.66	0.62	0.72	0.78
36.0	0.76	0.63	0.56	0.78	0.6
36.1	1.06	0.53	0.65	0.83	0.84
36.2	0.76	0.61	0.58	0.86	0.71
36.3	0.88	0.68	0.61	0.87	0.62
36.4	0.75	0.66	0.6	0.99	0.73
36.5	0.88	0.48	0.63	0.82	0.64
36.6	0.86	0.62	0.59	0.95	0.76
36.7	0.86	0.65	0.66	0.91	0.82
36.8	1.09	0.46	0.68	0.83	0.79
36.9	0.98	0.64	0.62	0.95	0.54
37.0	0.87	0.66	0.58	0.86	0.74
37.1	0.92	0.63	0.71	0.91	0.76
37.2	0.91	0.63	0.57	0.85	0.66
37.3	0.96	0.59	0.55	0.8	0.81
37.4	1.03	0.69	0.68	0.89	0.7
37.5	1.16	0.61	0.6	0.89	0.8
37.6	1.07	0.62	0.72	0.87	0.62
37.7	1.07	0.69	0.6	0.83	0.7
37.8	1.14	0.64	0.56	0.89	0.71
37.9	0.95	0.68	0.62	0.92	0.58
38.0	1.05	0.58	0.8	0.86	0.81
38.1	1.07	0.53	0.64	0.93	0.85
38.2	1.12	0.6	0.59	0.91	0.69
38.3	1.09	0.45	0.68	0.94	0.75
38.4	1.02	0.57	0.65	0.96	0.68
38.5	1.01	0.29	0.72	0.91	0.65
38.6	1.04	0.71	0.72	0.99	0.77
38.7	0.95	0.62	0.71	0.86	0.72
38.8	1.17	0.89	0.72	0.81	0.77
38.9	1.14	0.92	0.79	0.91	0.59
39.0	1.03	0.68	0.8	0.99	0.66
39.1	1.07	0.64	0.71	0.98	0.73
39.2	1.22	0.64	0.84	0.97	1.04
39.3	1.22	0.57	0.84	0.96	0.86
39.4	1.04	0.46	0.7	0.9	0.89
39.5	1.02	0.51	0.73	0.92	0.85
39.6	1.14	0.53	0.72	0.84	0.84
39.7	0.84	0.5	0.65	0.95	0.76
39.8	0.96	0.6	0.68	0.95	0.92
39.9	1.08	0.64	0.59	0.88	0.91
40.0	1.1	0.73	0.58	0.89	1.01
40.1	0.97	0.64	0.68	0.87	0.99
40.2	1.21	0.61	0.72	0.91	0.89
40.3	0.87	0.63	0.83	0.94	1.07
40.4	0.92	0.49	0.63	0.74	0.94
40.5	0.93	0.55	0.64	0.89	1.05
40.6	0.88	0.55	0.69	0.88	0.95
40.7	0.95	0.52	0.81	0.92	0.99
40.8	0.87	0.56	0.73	0.81	1.02
40.9	0.87	0.5	0.69	0.8	0.96
41.0	0.79	0.52	0.67	0.83	0.93
41.1	0.86	0.54	0.69	0.81	1.04
41.2	0.88	0.65	0.57	0.92	1.06
41.3	0.84	0.59	0.63	0.94	1.02
41.4	0.92	0.69	0.6	0.84	0.84
41.5	0.8	0.67	0.69	0.86	1.03
41.6	1.12	0.53	0.74	0.88	0.96
41.7	0.96	0.58	0.79	0.84	0.87
41.8	1.09	0.43	0.84	0.96	0.87
41.9	1.02	0.47	0.74	0.83	0.86
42.0	0.92	0.61	0.73	0.82	0.51
42.1	0.95	0.63	0.79	0.83	0.63
42.2	1.1	0.66	0.86	0.82	0.51
42.3	1.06	0.54	0.88	0.95	0.49
42.4	1.09	0.5	0.69	0.89	0.59
42.5	1.08	0.81	0.76	1.03	0.47
42.6	1.09	0.58	0.78	0.82	0.5
42.7	1.15	0.59	0.59	0.84	0.72
42.8	1.03	0.63	0.78	0.85	0.76
42.9	0.96	0.59	0.7	0.92	0.75
43.0	1.23	0.59	0.76	0.91	0.57
43.1	1.04	0.55	0.67	0.81	0.68
43.2	1.11	0.58	0.62	0.93	0.72
43.3	1.06	0.56	0.55	0.95	0.82
43.4	1.09	0.64	0.59	0.88	0.76
43.5	1.08	0.58	0.57	0.65	0.58
43.6	1.03	0.53	0.66	0.78	0.74
43.7	1.08	0.64	0.62	0.72	0.65
43.8	1.04	0.61	0.72	0.88	0.79
43.9	1.14	0.64	0.62	0.87	0.71
44.0	1.12	0.62	0.61	0.85	0.64
44.1	1.07	0.7	0.65	0.84	0.83
44.2	1.02	0.58	0.64	0.88	0.69
44.3	0.99	0.68	0.66	0.9	0.56
44.4	0.97	0.61	0.67	0.84	0.73
44.5	1.08	0.47	0.66	0.9	0.8
44.6	0.99	0.58	0.55	0.91	0.75
44.7	1.01	0.57	0.64	0.94	0.7
44.8	1.07	0.49	0.64	0.93	0.49
44.9	0.93	0.65	0.64	0.95	0.68
45.0	1.02	0.57	0.55	0.94	0.72
45.1	1.11	0.61	0.62	0.96	0.54
45.2	1.08	0.64	0.62	1.02	0.66
45.3	1.09	0.57	0.56	0.83	0.59
45.4	1.03	0.42	0.59	0.83	0.47
45.5	1.03	0.59	0.55	0.91	0.4
45.6	0.89	0.74	0.56	0.93	0.4
45.7	1.07	0.54	0.61	0.94	0.48
45.8	1.02	0.6	0.62	0.89	0.48
45.9	1.13	0.7	0.55	0.89	0.48
46.0	1.03	0.85	0.65	0.86	0.51
46.1	0.97	0.89	0.63	0.81	0.49
46.2	1.11	0.82	0.61	0.86	0.69
46.3	1.02	0.65	0.55	0.95	0.5
46.4	0.85	0.5	0.61	0.88	0.57
46.5	0.95	0.57	0.65	0.94	0.43
46.6	1.13	0.56	0.62	0.89	0.6
46.7	1.07	0.69	0.55	0.86	0.64
46.8	1.07	0.63	0.62	0.87	0.44
46.9	1.06	0.6	0.64	0.82	0.59
47.0	1.12	0.6	0.66	0.83	0.59
47.1	1.06	0.63	0.64	0.9	0.7
47.2	1.03	0.67	0.6	0.85	0.77
47.3	1.03	0.71	0.55	0.91	0.63
47.4	1.23	0.64	0.59	0.83	0.55
47.5	1.05	0.69	0.57	0.87	0.84
47.6	1.12	0.61	0.61	1.02	0.67
47.7	0.85	0.56	0.66	0.84	0.73
47.8	0.93	0.64	0.59	1.02	0.76
47.9	0.94	0.47	0.58	0.91	0.68
48.0	0.97	0.51	0.57	0.93	0.7
48.1	0.99	0.64	0.69	0.94	0.73
48.2	0.95	0.69	0.61	0.65	0.8
48.3	1.1	0.58	0.62	0.88	0.83
48.4	0.98	0.56	0.63	0.92	0.48
48.5	1.06	0.72	0.51	0.91	0.64
48.6	1.02	0.57	0.66	0.98	0.44
48.7	0.97	0.66	0.7	0.81	0.55
48.8	1.01	0.72	0.82	0.89	0.34
48.9	0.98	1.0	0.66	0.8	0.51
49.0	0.99	0.83	0.67	1.05	0.43
49.1	1.03	0.72	0.61	0.92	0.56
49.2	1.13	0.67	0.6	0.92	0.44
49.3	0.76	0.71	0.72	0.87	0.6
49.4	0.98	0.91	0.99	0.85	0.66
49.5	0.8	0.58	0.71	0.89	0.59
49.6	1.06	0.85	0.76	0.98	0.36
49.7	0.87	0.93	0.66	0.92	0.55
49.8	0.96	0.95	0.69	1.09	0.28
49.9	0.9	0.59	0.63	1.03	0.45
50.0	0.97	0.6	0.63	0.96	0.48
50.1	1.09	0.62	0.57	1.03	0.39
50.2	1.1	0.52	0.7	0.99	0.64
50.3	0.99	0.73	0.58	0.95	0.56
50.4	0.65	0.64	0.55	0.93	0.41
50.5	0.6	0.63	0.64	0.86	0.8
50.6	0.92	0.66	0.63	1.06	0.46
50.7	0.97	0.61	0.66	0.94	0.9
50.8	1.0	0.7	0.54	0.92	1.0
50.9	1.02	0.69	0.63	0.92	0.5
51.0	0.89	0.68	0.65	1.01	0.51
51.1	1.03	0.7	0.63	0.8	0.48
51.2	1.0	0.74	0.7	0.78	0.53
51.3	0.92	0.71	0.66	0.7	0.54
51.4	1.09	0.64	0.67	0.62	0.48
51.5	0.92	0.83	0.7	0.71	0.61
51.6	0.8	0.58	0.62	0.74	0.49
51.7	1.1	0.53	0.53	0.71	0.58
51.8	0.67	0.7	0.62	0.9	0.46
51.9	1.07	0.78	0.61	0.67	0.38
52.0	1.02	0.75	0.58	0.61	0.56
52.1	0.97	0.67	0.59	0.9	0.45
52.2	0.79	0.65	0.68	0.79	0.37
52.3	0.99	0.68	0.64	0.51	0.2
52.4	1.2	0.71	0.68	0.57	0.45
52.5	0.93	0.72	0.59	0.49	0.36
52.6	0.95	0.7	0.73	0.56	0.44
52.7	1.03	0.59	0.62	0.68	0.44
52.8	1.03	0.66	0.69	0.57	0.51
52.9	1.07	1.08	0.64	0.68	0.5
53.0	0.82	1.0	0.63	0.7	0.46
53.1	1.01	0.98	0.64	0.77	0.39
53.2	1.07	0.97	0.64	0.77	0.43
53.3	0.73	0.95	0.61	0.63	0.51
53.4	1.05	0.81	0.63	1.02	0.4
53.5	0.92	0.96	0.68	1.06	0.55
53.6	0.88	0.87	0.59	0.66	0.34
53.7	1.13	0.6	0.7	0.74	0.42
53.8	1.15	0.72	0.64	0.94	0.38
53.9	1.12	0.73	0.63	0.88	0.35
54.0	1.16	0.57	0.59	0.85	0.33
54.1	1.05	0.73	0.59	0.69	0.4
54.2	0.91	0.82	0.69	0.75	0.58
54.3	1.06	0.75	0.62	0.74	0.68
54.4	1.05	0.73	0.61	0.64	0.71
54.5	1.04	0.97	0.62	0.65	0.71
54.6	0.93	0.97	0.66	0.79	0.79
54.7	0.86	0.93	0.57	0.78	0.63
54.8	1.1	1.0	0.6	0.57	0.66
54.9	0.99	0.92	0.64	0.74	0.61
55.0	1.06	0.96	0.57	0.78	0.64
55.1	1.04	0.99	0.55	0.74	0.59
55.2	1.05	1.0	0.58	0.64	0.62
55.3	0.98	0.91	0.61	0.67	0.59
55.4	1.17	0.91	0.63	0.56	0.49
55.5	0.96	1.04	0.55	0.72	0.4
55.6	0.92	0.95	0.59	0.81	0.66
55.7	1.02	0.99	0.6	0.76	0.32
55.8	0.86	0.87	0.63	0.63	0.46
55.9	0.62	0.66	0.73	0.53	0.51
56.0	0.98	0.66	0.66	0.71	0.44
56.1	1.07	0.67	0.67	0.61	0.37
56.2	0.94	0.72	0.64	0.65	0.44
56.3	0.43	0.72	0.68	0.85	0.47
56.4	0.53	0.57	0.63	0.89	0.57
56.5	0.61	0.97	0.61	0.92	0.54
56.6	0.77	0.94	0.7	0.88	0.61
56.7	0.92	1.04	0.61	0.82	0.54
56.8	1.05	1.06	0.66	0.91	0.49
56.9	0.96	0.77	0.67	0.87	0.83
57.0	0.97	0.87	0.58	0.87	0.52
57.1	1.17	0.9	0.69	0.91	0.47
57.2	1.0	0.91	0.61	0.87	0.24
57.3	0.78	0.93	0.6	0.84	0.47
57.4	1.07	0.75	0.54	0.84	0.4
57.5	1.08	0.72	0.58	0.89	0.31
57.6	0.93	0.61	0.63	0.87	0.41
