Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
13.0	0.56	0.6	0.72	0.71	0.74
13.1	0.65	0.64	0.84	0.71	0.67
13.2	0.57	0.53	0.77	0.73	0.74
13.3	0.78	0.75	0.72	0.77	0.71
13.4	0.74	0.62	0.81	0.81	0.71
13.5	0.71	0.64	0.78	0.85	0.7
13.6	0.82	0.71	0.73	0.76	0.7
13.7	0.75	0.74	0.54	0.75	0.71
13.8	0.77	0.63	0.58	0.79	0.88
13.9	0.72	0.55	0.55	0.71	0.74
14.0	0.66	0.45	0.53	0.76	0.71
14.1	0.64	0.67	0.65	0.74	0.76
14.2	0.63	0.68	0.43	0.7	0.7
14.3	0.63	0.56	0.49	0.71	0.66
14.4	0.64	0.99	0.63	0.74	0.73
14.5	0.61	0.91	0.67	0.76	0.7
14.6	0.65	0.88	0.58	0.76	0.64
14.7	0.67	0.93	0.8	0.75	0.8
14.8	0.7	0.87	0.63	0.77	0.73
14.9	0.56	0.9	0.6	0.82	0.76
15.0	0.74	0.46	0.56	0.74	0.73
15.1	0.64	0.86	0.77	0.75	0.67
15.2	0.52	0.64	0.8	0.51	0.73
15.3	0.73	0.77	0.69	0.85	0.78
15.4	0.62	0.76	0.49	0.74	0.68
15.5	0.78	0.74	0.71	0.78	0.7
15.6	0.62	0.72	0.87	0.66	0.75
15.7	0.66	0.71	0.71	0.52	0.74
15.8	0.58	0.74	0.61	0.75	0.71
15.9	0.73	1.15	0.75	0.85	0.84
16.0	0.6	0.66	0.91	0.73	0.83
16.1	0.68	0.44	0.72	0.78	0.88
16.2	0.45	0.7	0.79	0.84	0.77
16.3	0.49	0.78	0.72	0.85	0.67
16.4	0.34	0.44	0.77	0.8	0.68
16.5	0.38	0.69	0.71	0.79	0.74
16.6	0.5	0.53	0.7	0.82	0.62
16.7	0.38	0.62	0.63	0.72	0.73
16.8	0.33	0.8	0.69	0.74	0.71
16.9	0.62	0.57	0.64	0.75	0.82
17.0	0.52	0.77	0.75	0.83	0.73
17.1	0.69	0.78	0.59	0.77	0.71
17.2	0.71	0.61	0.64	0.75	0.73
17.3	0.61	0.84	0.38	0.82	0.7
17.4	0.48	0.82	0.47	0.83	0.68
17.5	0.31	0.88	0.56	0.81	0.71
17.6	0.46	0.47	0.62	0.55	0.73
17.7	0.35	0.53	0.58	0.73	0.71
17.8	0.27	0.73	0.5	0.82	0.78
17.9	0.38	0.62	0.61	0.74	0.74
18.0	0.28	0.71	0.58	0.74	0.73
18.1	0.43	0.6	0.29	0.78	0.7
18.2	0.43	0.84	0.32	0.76	0.72
18.3	0.47	0.7	0.32	0.49	0.72
18.4	0.32	0.69	0.38	0.79	0.73
18.5	0.39	0.77	0.57	0.75	0.82
18.6	0.4	0.68	0.41	0.78	0.86
18.7	0.45	0.73	0.54	0.82	0.84
18.8	0.52	0.68	0.61	0.57	0.79
18.9	0.63	0.72	0.64	0.73	0.69
19.0	0.85	0.78	0.65	0.8	0.73
19.1	0.66	1.02	0.76	0.75	0.75
19.2	0.45	0.91	0.75	0.76	0.79
19.3	0.51	0.87	0.59	0.53	0.75
19.4	0.54	0.88	0.52	0.75	0.68
19.5	0.62	0.84	0.73	0.56	0.68
19.6	0.7	0.84	0.61	0.33	0.66
19.7	0.56	0.51	0.81	0.46	0.74
19.8	0.72	0.54	0.78	0.25	0.68
19.9	0.6	0.5	0.51	0.64	0.74
20.0	0.53	0.64	0.57	0.77	0.75
20.1	0.68	0.49	0.53	0.76	0.73
20.2	0.74	0.46	0.61	0.82	0.72
20.3	0.49	0.82	0.62	0.77	0.71
20.4	0.79	0.81	0.52	0.62	0.76
20.5	0.87	0.87	0.68	0.78	0.71
20.6	0.74	0.84	0.75	0.74	0.71
20.7	0.59	0.79	0.61	0.79	0.74
20.8	0.73	0.85	0.73	0.76	0.73
20.9	0.67	0.84	0.6	0.77	0.79
21.0	0.7	0.86	0.53	0.67	0.74
21.1	0.57	0.79	0.75	0.59	0.71
21.2	0.59	0.61	0.78	0.57	0.72
21.3	0.75	0.68	0.65	0.73	0.71
21.4	0.33	0.66	0.55	0.73	0.77
21.5	0.82	0.64	0.59	0.87	0.7
21.6	0.62	0.85	0.59	0.76	0.69
21.7	0.77	0.53	0.66	0.76	0.73
21.8	0.77	0.69	0.67	0.71	0.82
21.9	0.68	0.65	0.43	0.86	0.69
22.0	0.31	0.69	0.67	0.8	0.7
22.1	0.72	0.56	0.59	0.76	0.73
22.2	0.77	0.56	0.71	0.75	0.79
22.3	0.86	0.63	0.73	0.77	0.74
22.4	0.62	0.53	0.7	0.77	0.61
22.5	0.74	0.65	0.68	0.78	0.7
22.6	0.76	0.74	0.71	0.81	0.7
22.7	0.55	0.84	0.79	0.55	0.77
22.8	0.72	0.62	0.74	0.53	0.74
22.9	0.76	0.57	0.71	0.71	0.72
23.0	0.77	0.55	0.73	1.0	0.72
23.1	0.53	0.76	0.68	0.76	0.71
23.2	0.78	0.67	0.58	0.73	0.72
23.3	0.79	0.65	0.56	0.92	0.73
23.4	0.4	0.73	0.67	0.75	0.72
23.5	0.25	0.68	0.8	0.76	0.74
23.6	0.36	0.73	0.76	0.71	0.67
23.7	0.36	0.84	0.79	0.75	0.73
23.8	0.19	0.88	0.73	0.77	0.7
23.9	0.34	0.74	0.83	0.79	0.72
