Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
13.0	2.29	2.46	2.07	2.33	2.2
13.1	2.26	2.38	2.24	2.26	2.18
13.2	2.3	2.49	2.29	2.46	2.18
13.3	2.33	2.44	2.28	2.23	2.14
13.4	2.22	2.55	2.25	2.39	2.13
13.5	2.16	2.57	2.4	2.14	2.09
13.6	2.43	2.51	2.36	2.28	2.17
13.7	2.3	2.51	2.41	2.34	2.11
13.8	2.21	2.56	2.49	2.45	2.18
13.9	2.26	2.42	2.62	2.52	2.18
14.0	2.31	2.64	2.7	2.6	2.21
14.1	2.34	2.58	2.61	2.63	2.15
14.2	2.45	2.6	2.94	2.6	2.22
14.3	2.65	3.0	2.73	2.4	2.08
14.4	2.46	2.89	2.48	2.27	2.14
14.5	2.37	2.94	2.71	2.23	2.17
14.6	2.3	2.75	2.53	2.1	2.26
14.7	2.34	2.81	2.53	2.24	2.32
14.8	2.34	2.89	2.57	2.19	2.33
14.9	2.19	2.78	2.55	2.19	2.32
15.0	2.07	2.75	2.5	2.15	2.31
15.1	2.21	2.71	2.56	2.05	2.31
15.2	2.13	2.65	2.5	2.14	2.3
15.3	2.14	2.66	2.7	2.05	2.19
15.4	2.03	2.67	2.5	2.06	2.19
15.5	2.21	2.56	2.55	2.05	2.17
15.6	2.25	2.55	2.6	2.0	2.19
15.7	2.2	2.45	2.63	2.34	2.16
15.8	2.19	2.54	2.5	2.41	2.09
15.9	2.11	2.72	2.4	2.42	2.05
16.0	2.16	2.76	2.53	2.41	2.13
16.1	2.15	2.68	2.55	2.34	2.1
16.2	2.21	2.72	2.55	2.27	2.2
16.3	2.22	2.86	2.54	2.2	2.15
16.4	2.08	2.84	2.56	2.21	2.08
16.5	1.94	2.92	2.73	1.96	2.07
16.6	1.99	2.82	2.49	1.98	2.17
16.7	2.0	2.83	2.47	1.89	2.27
16.8	2.15	2.78	2.45	1.95	2.23
16.9	2.02	2.74	2.36	2.14	2.2
17.0	2.07	2.52	2.29	2.21	2.35
17.1	2.13	2.71	2.22	2.19	2.35
17.2	2.1	2.67	2.15	2.16	2.27
17.3	2.2	2.65	2.28	2.13	2.29
17.4	2.21	2.6	2.39	2.19	2.33
17.5	2.31	2.53	2.4	2.32	2.31
17.6	2.55	2.54	2.45	2.28	2.08
17.7	2.65	2.45	2.51	2.18	2.06
17.8	2.46	2.61	2.57	2.1	2.24
17.9	2.46	2.71	2.62	2.15	2.14
18.0	2.43	2.84	2.67	2.0	2.14
18.1	2.28	2.66	2.66	2.1	2.21
18.2	2.24	2.56	2.45	2.28	2.16
18.3	2.41	2.47	2.53	2.22	2.13
18.4	2.53	2.6	2.62	2.16	2.18
18.5	2.54	2.72	2.18	2.11	2.14
18.6	2.59	2.58	2.47	2.11	2.25
18.7	2.39	2.53	2.38	2.16	2.17
18.8	2.29	2.52	2.43	2.15	2.25
18.9	2.38	2.47	2.36	2.32	2.28
19.0	2.31	2.41	2.41	2.31	2.2
19.1	2.45	2.4	2.32	2.27	2.2
19.2	2.36	2.59	2.28	2.2	2.21
19.3	2.28	2.6	2.52	2.21	2.25
19.4	2.33	2.55	2.39	2.13	2.42
19.5	2.39	2.56	2.46	2.22	2.48
19.6	2.36	2.49	2.53	2.17	2.49
19.7	2.11	2.53	2.29	2.16	2.58
19.8	2.19	2.55	2.17	2.23	2.76
19.9	2.17	2.58	2.16	2.28	2.46
20.0	2.25	2.64	2.21	2.31	2.52
20.1	2.25	2.49	2.3	2.06	2.43
20.2	2.26	2.38	2.33	2.18	2.5
20.3	2.4	2.44	2.31	2.1	2.39
20.4	2.42	2.54	2.26	2.17	2.39
20.5	2.31	2.46	2.42	2.22	2.45
20.6	2.2	2.51	2.52	2.07	2.56
20.7	2.26	2.4	2.41	2.12	2.57
20.8	2.28	2.6	2.25	2.15	2.53
20.9	2.24	2.47	2.39	2.05	2.61
21.0	2.25	2.52	2.35	1.93	2.53
21.1	2.22	2.62	2.31	1.97	2.49
21.2	2.22	2.57	2.43	1.99	2.5
21.3	2.2	2.44	2.36	2.04	2.47
21.4	2.41	2.45	2.55	2.25	2.57
21.5	2.44	2.44	2.54	2.23	2.66
21.6	2.39	2.5	2.63	2.2	2.48
21.7	2.28	2.46	2.59	2.22	2.41
21.8	2.5	2.67	2.63	2.21	2.59
21.9	2.45	2.67	2.49	2.34	2.66
22.0	2.6	2.72	2.5	2.18	2.56
22.1	2.46	2.45	2.67	2.14	2.45
22.2	2.38	2.54	2.66	2.19	2.51
22.3	2.34	2.63	2.6	2.18	2.41
22.4	2.31	2.51	2.72	2.11	2.65
22.5	2.39	2.32	2.73	2.08	2.62
22.6	2.25	2.38	2.82	2.13	2.51
22.7	2.25	2.28	2.65	2.19	2.56
22.8	2.33	2.37	2.67	2.32	2.39
22.9	2.37	2.38	2.65	2.32	2.48
23.0	2.39	2.42	2.5	2.44	2.54
23.1	2.34	2.4	2.59	2.38	2.48
23.2	2.44	2.31	2.53	2.18	2.44
23.3	2.49	2.49	2.52	2.16	2.44
23.4	2.36	2.54	2.47	2.31	2.42
23.5	2.29	2.49	2.55	2.23	2.51
23.6	2.36	2.41	2.71	2.22	2.33
23.7	2.28	2.46	2.87	2.43	2.38
23.8	2.3	2.44	2.62	2.41	2.33
23.9	2.3	2.26	2.79	2.43	2.12
24.0	2.26	2.33	2.78	2.58	2.3
24.1	2.23	2.28	2.8	2.31	2.41
24.2	2.15	2.25	2.77	2.39	2.24
24.3	2.41	2.35	2.71	2.55	2.24
24.4	2.38	2.43	2.85	2.33	2.09
24.5	2.26	2.42	2.93	2.43	2.2
24.6	2.34	2.41	2.97	2.58	2.23
24.7	2.25	2.44	2.81	2.49	2.3
24.8	2.24	2.42	2.78	2.49	2.39
24.9	2.21	2.49	2.69	2.51	2.39
25.0	2.23	2.6	2.61	2.43	2.36
